transactionId,timestamp,customerId,customerName,accountId,receiverAccount,amountINR,transactionType,branch,deviceId,ipAddress,kycStatus,riskProfile,amlScenario,expectedRisk
TXN0900001,2025-10-27 11:53:00,CUST11577,Customer_00161,ACC34414,ACC27194,35646.51,RTGS,Chennai,DEV052843,10.51.166.95,PENDING,LOW,NORMAL,LOW
TXN0900002,2025-04-19 21:03:00,CUST19392,Customer_37524,ACC22788,ACC46926,20142.28,RTGS,Bengaluru,DEV044559,10.136.225.136,VERIFIED,HIGH,NORMAL,LOW
TXN0900003,2025-02-14 04:28:00,CUST42534,Customer_38651,ACC04194,ACC22143,2374.18,IMPS,Mumbai,DEV183193,10.182.191.15,PENDING,LOW,NORMAL,LOW
TXN0900004,2025-02-24 05:00:00,CUST17400,Customer_19427,ACC31320,ACC30098,27899.21,RTGS,Chennai,DEV161524,10.66.196.221,PENDING,MEDIUM,NORMAL,LOW
TXN0900005,2025-06-07 14:06:00,CUST08969,Customer_01231,ACC49666,ACC53648,49319.89,RTGS,Kolkata,DEV130835,10.105.74.92,PENDING,LOW,NORMAL,LOW
TXN0900006,2025-01-26 21:30:00,CUST22842,Customer_12371,ACC12873,ACC41577,17828.4,IMPS,Delhi,DEV011127,10.54.169.232,VERIFIED,LOW,NORMAL,LOW
TXN0900007,2025-04-24 08:01:00,CUST29545,Customer_03370,ACC40410,ACC51751,1094.93,RTGS,Bengaluru,DEV176959,10.107.252.100,PENDING,MEDIUM,NORMAL,LOW
TXN0900008,2025-04-26 15:39:00,CUST01329,Customer_21556,ACC24551,ACC58282,4845.71,CARD,Mumbai,DEV083091,10.44.55.59,VERIFIED,MEDIUM,NORMAL,LOW
TXN0900009,2025-06-02 22:17:00,CUST11248,Customer_47892,ACC52682,ACC37168,46476.53,UPI,Delhi,DEV115291,10.116.106.21,PENDING,HIGH,NORMAL,LOW
TXN0900010,2025-11-24 00:11:00,CUST26296,Customer_20305,ACC52269,ACC32258,23386.29,IMPS,Chennai,DEV180224,10.185.104.112,PENDING,HIGH,NORMAL,LOW
TXN0900011,2025-10-20 07:26:00,CUST05033,Customer_48367,ACC37003,ACC20615,28341.22,UPI,Bengaluru,DEV085495,10.204.103.28,PENDING,MEDIUM,NORMAL,LOW
TXN0900012,2025-09-25 01:52:00,CUST10465,Customer_31216,ACC38097,ACC16309,6166.94,UPI,Kolkata,DEV094165,10.154.76.99,VERIFIED,MEDIUM,NORMAL,LOW
TXN0900013,2025-08-25 17:30:00,CUST14414,Customer_01628,ACC27355,ACC02352,36823.21,IMPS,Hyderabad,DEV177897,10.94.41.175,VERIFIED,MEDIUM,NORMAL,LOW
TXN0900014,2025-03-25 01:35:00,CUST20043,Customer_02386,ACC47290,ACC23167,21888.73,NEFT,Kolkata,DEV011360,10.21.55.82,PENDING,HIGH,NORMAL,LOW
TXN0900015,2025-10-03 03:33:00,CUST28340,Customer_27504,ACC35310,ACC08996,12815.65,IMPS,Chennai,DEV148499,10.227.200.117,PENDING,MEDIUM,NORMAL,LOW
TXN0900016,2025-07-04 20:04:00,CUST09505,Customer_13673,ACC48559,ACC13681,42298.46,CARD,Chennai,DEV131808,10.33.155.93,VERIFIED,LOW,NORMAL,LOW
TXN0900017,2025-11-05 04:19:00,CUST30590,Customer_18086,ACC57824,ACC37624,31518.2,NEFT,Bengaluru,DEV144899,10.99.119.245,PENDING,HIGH,NORMAL,LOW
TXN0900018,2025-11-22 02:42:00,CUST22035,Customer_21400,ACC38968,ACC01883,2190.73,NEFT,Kolkata,DEV008605,10.155.117.148,VERIFIED,MEDIUM,NORMAL,LOW
TXN0900019,2025-02-24 19:43:00,CUST25970,Customer_20479,ACC17757,ACC59115,3921.75,RTGS,Kolkata,DEV131224,10.126.122.107,VERIFIED,LOW,NORMAL,LOW
TXN0900020,2025-06-14 00:15:00,CUST34647,Customer_04797,ACC13251,ACC54369,47788.86,NEFT,Hyderabad,DEV072689,10.38.107.187,VERIFIED,HIGH,NORMAL,LOW
TXN0900021,2025-12-08 18:56:00,CUST17953,Customer_13870,ACC17546,ACC28571,26737.37,RTGS,Mumbai,DEV043121,10.74.134.233,PENDING,HIGH,NORMAL,LOW
TXN0900022,2025-07-05 01:05:00,CUST28395,Customer_38052,ACC19003,ACC39297,12064.13,CARD,Chennai,DEV022069,10.40.242.207,PENDING,HIGH,NORMAL,LOW
TXN0900023,2025-11-26 03:29:00,CUST28664,Customer_12181,ACC21711,ACC01579,43233.5,IMPS,Mumbai,DEV045659,10.27.91.152,VERIFIED,LOW,NORMAL,LOW
TXN0900024,2025-11-26 06:19:00,CUST25265,Customer_47669,ACC39806,ACC11283,6378.0,CARD,Hyderabad,DEV127456,10.74.142.24,PENDING,MEDIUM,NORMAL,LOW
TXN0900025,2025-02-24 22:32:00,CUST44476,Customer_07600,ACC49232,ACC25540,30619.94,RTGS,Mumbai,DEV119362,10.156.183.8,PENDING,HIGH,NORMAL,LOW
TXN0900026,2025-04-02 00:49:00,CUST10592,Customer_11937,ACC16787,ACC21362,32156.19,IMPS,Delhi,DEV020778,10.46.99.156,VERIFIED,MEDIUM,NORMAL,LOW
TXN0900027,2025-11-05 11:19:00,CUST27988,Customer_07905,ACC15855,ACC07522,36574.29,IMPS,Hyderabad,DEV059576,10.247.23.133,PENDING,HIGH,NORMAL,LOW
TXN0900028,2025-01-05 12:33:00,CUST04263,Customer_48546,ACC10318,ACC13300,40830.45,IMPS,Mumbai,DEV035811,10.238.197.252,VERIFIED,MEDIUM,NORMAL,LOW
TXN0900029,2025-12-08 04:18:00,CUST19916,Customer_46997,ACC25109,ACC06367,44334.81,RTGS,Kolkata,DEV014808,10.12.67.253,VERIFIED,MEDIUM,NORMAL,LOW
TXN0900030,2025-10-15 03:22:00,CUST20020,Customer_33528,ACC32925,ACC20290,28721.06,IMPS,Bengaluru,DEV092422,10.243.164.202,VERIFIED,LOW,NORMAL,LOW
TXN0900031,2025-03-25 12:20:00,CUST17518,Customer_00782,ACC53594,ACC56079,19321.33,CARD,Hyderabad,DEV117473,10.211.82.21,VERIFIED,HIGH,NORMAL,LOW
TXN0900032,2025-08-11 18:06:00,CUST04414,Customer_06554,ACC35411,ACC33636,22129.71,UPI,Kolkata,DEV175512,10.179.170.195,VERIFIED,LOW,NORMAL,LOW
TXN0900033,2025-07-20 00:23:00,CUST20871,Customer_06356,ACC28524,ACC31917,11957.05,UPI,Hyderabad,DEV111904,10.156.251.246,PENDING,MEDIUM,NORMAL,LOW
TXN0900034,2025-10-17 23:16:00,CUST12285,Customer_25259,ACC05789,ACC01778,37346.23,UPI,Mumbai,DEV094769,10.127.145.224,VERIFIED,HIGH,NORMAL,LOW
TXN0900035,2025-08-25 23:04:00,CUST20997,Customer_22354,ACC08034,ACC27459,11889.79,UPI,Delhi,DEV004771,10.162.5.201,PENDING,HIGH,NORMAL,LOW
TXN0900036,2025-02-13 00:02:00,CUST32762,Customer_47133,ACC15541,ACC20523,49594.82,RTGS,Kolkata,DEV146630,10.202.104.69,VERIFIED,HIGH,NORMAL,LOW
TXN0900037,2025-01-09 14:07:00,CUST48701,Customer_04034,ACC44740,ACC54784,6333.93,IMPS,Chennai,DEV077799,10.136.30.236,VERIFIED,LOW,NORMAL,LOW
TXN0900038,2025-02-03 19:00:00,CUST36266,Customer_36032,ACC40736,ACC03528,14473.08,UPI,Kolkata,DEV079875,10.220.215.88,PENDING,LOW,NORMAL,LOW
TXN0900039,2025-11-13 04:55:00,CUST35729,Customer_37649,ACC59982,ACC15191,2198353.57,RTGS,Hyderabad,DEV017277,10.41.104.51,VERIFIED,LOW,MULE_ACCOUNT,CRITICAL
TXN0900040,2025-11-12 02:42:00,CUST44514,Customer_16462,ACC55247,ACC42090,45398.99,IMPS,Hyderabad,DEV032926,10.161.131.180,VERIFIED,LOW,NORMAL,LOW
TXN0900041,2025-09-16 06:53:00,CUST39171,Customer_47425,ACC12592,ACC16411,25657.05,IMPS,Kolkata,DEV111292,10.230.19.1,VERIFIED,MEDIUM,NORMAL,LOW
TXN0900042,2025-03-18 17:18:00,CUST13090,Customer_31343,ACC14409,ACC45811,46308.0,UPI,Bengaluru,DEV054476,10.187.204.124,VERIFIED,MEDIUM,NORMAL,LOW
TXN0900043,2025-10-13 03:05:00,CUST22791,Customer_21742,ACC58300,ACC56648,12800.97,UPI,Hyderabad,DEV110372,10.181.217.197,VERIFIED,MEDIUM,NORMAL,LOW
TXN0900044,2025-02-21 22:09:00,CUST17762,Customer_12921,ACC17669,ACC05267,1523.44,UPI,Chennai,DEV176212,10.43.244.183,VERIFIED,LOW,NORMAL,LOW
TXN0900045,2025-02-20 02:59:00,CUST17270,Customer_40801,ACC05358,ACC04348,3635.8,CARD,Kolkata,DEV106171,10.17.43.238,PENDING,MEDIUM,NORMAL,LOW
TXN0900046,2025-08-01 07:06:00,CUST08929,Customer_16156,ACC36363,ACC30987,43167.84,IMPS,Kolkata,DEV100180,10.84.60.153,VERIFIED,MEDIUM,NORMAL,LOW
TXN0900047,2025-06-13 17:33:00,CUST32430,Customer_25306,ACC36177,ACC03240,125.56,NEFT,Kolkata,DEV022618,10.11.198.15,VERIFIED,LOW,NORMAL,LOW
TXN0900048,2025-01-27 20:45:00,CUST30934,Customer_11220,ACC47297,ACC20517,25187.94,UPI,Delhi,DEV111543,10.165.122.35,PENDING,LOW,NORMAL,LOW
TXN0900049,2025-06-17 19:49:00,CUST02531,Customer_11244,ACC16627,ACC14939,38252.63,CARD,Hyderabad,DEV138311,10.186.110.125,VERIFIED,LOW,NORMAL,LOW
TXN0900050,2025-04-12 06:03:00,CUST39253,Customer_08000,ACC30241,ACC33901,35254.2,CARD,Bengaluru,DEV131598,10.184.154.164,PENDING,MEDIUM,NORMAL,LOW
TXN0900051,2025-11-11 11:57:00,CUST45739,Customer_09115,ACC39466,ACC30378,18517.49,RTGS,Chennai,DEV052059,10.136.114.59,VERIFIED,HIGH,NORMAL,LOW
TXN0900052,2025-08-10 21:22:00,CUST11063,Customer_09429,ACC28844,ACC33410,42539.78,CARD,Kolkata,DEV091179,10.41.63.114,VERIFIED,MEDIUM,NORMAL,LOW
TXN0900053,2025-06-22 20:43:00,CUST14094,Customer_27771,ACC47012,ACC36083,10509.06,RTGS,Chennai,DEV012710,10.177.77.119,VERIFIED,HIGH,NORMAL,LOW
TXN0900054,2025-07-20 22:53:00,CUST20868,Customer_16068,ACC28460,ACC10251,47321.12,IMPS,Mumbai,DEV185452,10.212.157.178,VERIFIED,LOW,NORMAL,LOW
TXN0900055,2025-03-14 13:15:00,CUST35284,Customer_20197,ACC14725,ACC14639,10138.12,UPI,Kolkata,DEV093516,10.187.140.21,PENDING,MEDIUM,NORMAL,LOW
TXN0900056,2025-06-04 14:53:00,CUST38979,Customer_02839,ACC32110,ACC22717,49439.63,IMPS,Bengaluru,DEV138004,10.145.228.236,PENDING,LOW,NORMAL,LOW
TXN0900057,2025-02-06 11:29:00,CUST20734,Customer_45635,ACC15575,ACC22742,8140.26,NEFT,Mumbai,DEV134366,10.16.56.83,PENDING,HIGH,NORMAL,LOW
TXN0900058,2025-10-18 11:27:00,CUST43383,Customer_28653,ACC09220,ACC21757,36726.74,UPI,Kolkata,DEV108475,10.196.152.63,VERIFIED,MEDIUM,NORMAL,LOW
TXN0900059,2025-03-15 05:18:00,CUST01437,Customer_45717,ACC02898,ACC57571,43485.34,RTGS,Hyderabad,DEV188361,10.139.178.125,VERIFIED,LOW,NORMAL,LOW
TXN0900060,2025-09-26 06:58:00,CUST00652,Customer_20098,ACC23386,ACC21811,31327.58,RTGS,Bengaluru,DEV122773,10.120.240.40,VERIFIED,LOW,NORMAL,LOW
TXN0900061,2025-04-14 22:55:00,CUST37724,Customer_43181,ACC15161,ACC10758,15202.47,NEFT,Hyderabad,DEV161092,10.50.12.230,VERIFIED,MEDIUM,NORMAL,LOW
TXN0900062,2025-04-09 20:32:00,CUST27929,Customer_38709,ACC27827,ACC28053,48574.55,NEFT,Delhi,DEV161286,10.117.207.163,VERIFIED,HIGH,NORMAL,LOW
TXN0900063,2025-02-09 09:01:00,CUST32018,Customer_00649,ACC15448,ACC07303,16563.69,CARD,Bengaluru,DEV062450,10.7.40.84,VERIFIED,LOW,NORMAL,LOW
TXN0900064,2025-04-26 03:46:00,CUST18079,Customer_01531,ACC04722,ACC44826,45643.05,NEFT,Chennai,DEV067429,10.133.175.206,PENDING,LOW,NORMAL,LOW
TXN0900065,2025-05-29 04:26:00,CUST48885,Customer_11256,ACC16232,ACC26579,33292.36,CARD,Delhi,DEV135869,10.247.110.26,PENDING,MEDIUM,NORMAL,LOW
TXN0900066,2025-10-25 21:46:00,CUST07110,Customer_05674,ACC40582,ACC55453,39316.16,CARD,Chennai,DEV046350,10.247.40.67,VERIFIED,LOW,NORMAL,LOW
TXN0900067,2025-07-04 19:47:00,CUST39495,Customer_31272,ACC16472,ACC55929,2730.95,UPI,Kolkata,DEV033463,10.201.73.159,PENDING,MEDIUM,NORMAL,LOW
TXN0900068,2025-10-24 10:14:00,CUST36021,Customer_00972,ACC55110,ACC47196,22158.43,IMPS,Mumbai,DEV031112,10.79.189.91,VERIFIED,HIGH,NORMAL,LOW
TXN0900069,2025-08-10 11:36:00,CUST45997,Customer_03858,ACC56290,ACC43477,44006.86,RTGS,Bengaluru,DEV079501,10.96.46.110,PENDING,LOW,NORMAL,LOW
TXN0900070,2025-12-21 22:36:00,CUST15084,Customer_49862,ACC13974,ACC30198,17339.03,UPI,Hyderabad,DEV131896,10.77.108.186,VERIFIED,HIGH,NORMAL,LOW
TXN0900071,2025-01-08 06:38:00,CUST49981,Customer_00899,ACC53441,ACC58446,27549.23,CARD,Delhi,DEV121737,10.210.88.231,VERIFIED,LOW,NORMAL,LOW
TXN0900072,2025-08-19 23:03:00,CUST41717,Customer_42655,ACC50174,ACC32883,26542.91,RTGS,Kolkata,DEV172892,10.215.14.212,VERIFIED,LOW,NORMAL,LOW
